file,stem_clean,tokenization,mode,n,n_oraciones,vocab_size,total_tokens
s0_hi1.txt,s0hi1,c1,char,1,63,32,5394
s0_hi2.txt,s0hi2,c1,char,1,44,32,3595
s0_hi3.txt,s0hi3,c1,char,1,50,32,4331
s0_hi4.txt,s0hi4,c1,char,1,56,32,4545
s0_hi5.txt,s0hi5,c1,char,1,49,32,3949
s0_l1.txt,s0l1,c1,char,1,56,32,4237
s0_l2.txt,s0l2,c1,char,1,56,32,4550
s0_l3.txt,s0l3,c1,char,1,56,32,4368
s0_l4.txt,s0l4,c1,char,1,56,32,4720
s0_l4a.txt,s0l4a,c1,char,1,41,32,3700
s0_l4b.txt,s0l4b,c1,char,1,42,32,3417
s0_l5.txt,s0l5,c1,char,1,55,32,4586
s0_no2.txt,s0no2,c1,char,1,66,32,4395
s0_no3.txt,s0no3,c1,char,1,50,32,3909
s0_no4.txt,s0no4,c1,char,1,35,32,3332
s0_no5.txt,s0no5,c1,char,1,40,32,4239
s0_no6.txt,s0no6,c1,char,1,76,32,4221
s0_nopa1.txt,s0nopa1,c1,char,1,46,32,3671
s0_nopa2a.txt,s0nopa2a,c1,char,1,49,32,4023
s0_nopa2b.txt,s0nopa2b,c1,char,1,59,32,4420
s0_nopa3.txt,s0nopa3,c1,char,1,33,32,3305
s0_nopa3b.txt,s0nopa3b,c1,char,1,40,32,3303
s0_s0.txt,s0s0,c1,char,1,56,32,5000
