file,stem_clean,tokenization,mode,n,n_oraciones,vocab_size,total_tokens
s0_hi1.txt,s0hi1,c10,char,10,63,4375,4827
s0_hi2.txt,s0hi2,c10,char,10,44,2961,3199
s0_hi3.txt,s0hi3,c10,char,10,50,3588,3881
s0_hi4.txt,s0hi4,c10,char,10,56,3459,4041
s0_hi5.txt,s0hi5,c10,char,10,49,3228,3508
s0_l1.txt,s0l1,c10,char,10,56,3357,3733
s0_l2.txt,s0l2,c10,char,10,56,3508,4046
s0_l3.txt,s0l3,c10,char,10,56,3228,3864
s0_l4.txt,s0l4,c10,char,10,56,3120,4216
s0_l4a.txt,s0l4a,c10,char,10,41,2569,3331
s0_l4b.txt,s0l4b,c10,char,10,42,2673,3039
s0_l5.txt,s0l5,c10,char,10,55,3495,4091
s0_no2.txt,s0no2,c10,char,10,66,3618,3801
s0_no3.txt,s0no3,c10,char,10,50,3270,3459
s0_no4.txt,s0no4,c10,char,10,35,2835,3017
s0_no5.txt,s0no5,c10,char,10,40,3664,3879
s0_no6.txt,s0no6,c10,char,10,76,3339,3537
s0_nopa1.txt,s0nopa1,c10,char,10,46,3078,3257
s0_nopa2a.txt,s0nopa2a,c10,char,10,49,3324,3582
s0_nopa2b.txt,s0nopa2b,c10,char,10,59,3647,3889
s0_nopa3.txt,s0nopa3,c10,char,10,33,2855,3008
s0_nopa3b.txt,s0nopa3b,c10,char,10,40,2793,2943
s0_s0.txt,s0s0,c10,char,10,56,2122,4496
