file,stem_clean,tokenization,mode,n,n_oraciones,vocab_size,total_tokens
s0_hi1.txt,s0hi1,p1,word,1,63,400,782
s0_hi2.txt,s0hi2,p1,word,1,44,289,519
s0_hi3.txt,s0hi3,p1,word,1,50,327,631
s0_hi4.txt,s0hi4,p1,word,1,56,313,647
s0_hi5.txt,s0hi5,p1,word,1,49,300,574
s0_l1.txt,s0l1,p1,word,1,56,320,639
s0_l2.txt,s0l2,p1,word,1,56,296,676
s0_l3.txt,s0l3,p1,word,1,56,280,643
s0_l4.txt,s0l4,p1,word,1,56,278,701
s0_l4a.txt,s0l4a,p1,word,1,41,252,545
s0_l4b.txt,s0l4b,p1,word,1,42,252,507
s0_l5.txt,s0l5,p1,word,1,55,312,664
s0_no2.txt,s0no2,p1,word,1,66,370,647
s0_no3.txt,s0no3,p1,word,1,50,312,569
s0_no4.txt,s0no4,p1,word,1,35,255,482
s0_no5.txt,s0no5,p1,word,1,40,346,610
s0_no6.txt,s0no6,p1,word,1,76,344,623
s0_nopa1.txt,s0nopa1,p1,word,1,46,314,545
s0_nopa2a.txt,s0nopa2a,p1,word,1,49,320,594
s0_nopa2b.txt,s0nopa2b,p1,word,1,59,357,652
s0_nopa3.txt,s0nopa3,p1,word,1,33,298,493
s0_nopa3b.txt,s0nopa3b,p1,word,1,40,298,493
s0_s0.txt,s0s0,p1,word,1,56,223,732
