file,stem_clean,tokenization,mode,n,n_oraciones,vocab_size,total_tokens
s0_hi1.txt,s0hi1,p2,word,2,63,650,719
s0_hi2.txt,s0hi2,p2,word,2,44,443,475
s0_hi3.txt,s0hi3,p2,word,2,50,534,581
s0_hi4.txt,s0hi4,p2,word,2,56,506,591
s0_hi5.txt,s0hi5,p2,word,2,49,487,525
s0_l1.txt,s0l1,p2,word,2,56,524,583
s0_l2.txt,s0l2,p2,word,2,56,526,620
s0_l3.txt,s0l3,p2,word,2,56,478,587
s0_l4.txt,s0l4,p2,word,2,56,471,645
s0_l4a.txt,s0l4a,p2,word,2,41,388,504
s0_l4b.txt,s0l4b,p2,word,2,42,401,465
s0_l5.txt,s0l5,p2,word,2,55,520,609
s0_no2.txt,s0no2,p2,word,2,66,557,581
s0_no3.txt,s0no3,p2,word,2,50,496,519
s0_no4.txt,s0no4,p2,word,2,35,424,447
s0_no5.txt,s0no5,p2,word,2,40,539,570
s0_no6.txt,s0no6,p2,word,2,76,520,547
s0_nopa1.txt,s0nopa1,p2,word,2,46,468,499
s0_nopa2a.txt,s0nopa2a,p2,word,2,49,501,545
s0_nopa2b.txt,s0nopa2b,p2,word,2,59,552,593
s0_nopa3.txt,s0nopa3,p2,word,2,33,436,460
s0_nopa3b.txt,s0nopa3b,p2,word,2,40,429,453
s0_s0.txt,s0s0,p2,word,2,56,318,676
